TRUE_TIME,TIME,USFLUX,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZD,TOTUSJZ,MEANJZH,TOTUSJH,ABSNJZH,SAVNCPP,MEANPOT,TOTPOT,MEANSHR,SHRGT45,R_VALUE,AREA_ACR
2013.10.27_15:48:00_TAI,0.0,8.797414e+19,65.746,81.316,86.332,50.031,0.27457875,4.567492e+11,-0.00726435,8.766,2.768,4.316479e+11,2.429494e+03,1.229287e+21,55.909,57.480,2.676,5.651250
2013.10.27_16:00:00_TAI,0.2,9.371832e+19,57.466,101.357,102.555,56.802,2.24554396,3.746345e+11,-0.00799067,10.060,2.381,3.474380e+11,2.308165e+03,9.134730e+20,47.465,46.644,2.422,5.854125
2013.10.27_16:12:00_TAI,0.4,1.432106e+20,44.256,105.179,107.314,55.764,-0.39654431,3.880353e+11,-0.00462374,10.958,1.530,3.741202e+11,1.980541e+03,8.706117e+20,35.494,24.169,2.692,8.069713
2013.10.27_16:24:00_TAI,0.6,1.457287e+20,45.005,121.001,125.595,63.427,-0.38173962,4.128826e+11,-0.00477832,13.186,1.500,1.776335e+11,2.107340e+03,8.787730e+20,34.277,23.885,2.399,8.273040
2013.10.27_16:36:00_TAI,0.8,1.579196e+20,48.336,134.174,141.885,65.590,1.11649871,5.156014e+11,-0.01282261,16.419,4.449,4.159719e+11,2.262177e+03,1.042482e+21,35.266,26.225,1.811,7.581338
2013.10.27_16:48:00_TAI,1.0,1.669637e+20,56.074,120.847,126.939,65.779,-0.59410727,4.568362e+11,-0.00425215,16.552,1.697,1.230700e+11,2.374408e+03,1.258174e+21,38.554,36.341,0.000,7.936355
2013.10.27_17:00:00_TAI,1.2,1.815507e+20,56.727,119.030,122.072,62.075,-1.09202743,5.299623e+11,-0.01873306,20.673,8.374,7.354210e+11,2.261589e+03,1.342560e+21,42.560,41.387,0.000,7.883019
2013.10.27_17:12:00_TAI,1.4,2.118833e+20,49.795,137.589,138.828,73.711,-0.71762151,5.893835e+11,-0.01865202,23.468,8.114,5.419094e+11,2.411613e+03,1.393187e+21,36.190,32.184,0.000,8.242808
2013.10.27_17:24:00_TAI,1.6,2.297276e+20,48.252,143.330,143.542,72.345,-1.05618238,5.567358e+11,-0.02118868,25.681,9.598,6.802846e+11,2.569835e+03,1.546023e+21,36.196,28.918,0.000,9.226561
2013.10.27_17:36:00_TAI,1.8,2.499597e+20,49.516,131.512,132.525,73.038,0.76084954,7.250982e+11,-0.01716650,28.987,9.133,6.788294e+11,2.552434e+03,1.803344e+21,38.300,34.586,0.000,10.313016
2013.10.27_17:48:00_TAI,2.0,4.743118e+20,55.384,124.493,123.347,66.394,-0.86210924,1.224617e+12,-0.00642996,48.365,6.726,7.425509e+11,3.538747e+03,4.915795e+21,44.594,40.631,2.700,23.631004
2013.10.27_18:24:00_TAI,2.6,6.392544e+20,53.247,125.752,123.789,70.484,-1.83402503,1.832441e+12,-0.00079641,72.204,1.081,1.292041e+12,3.769178e+03,6.792648e+21,43.726,38.467,2.622,32.598938
2013.10.27_18:36:00_TAI,2.8,7.272581e+20,51.662,118.933,117.032,65.583,-1.19606495,1.979148e+12,-0.00008972,81.921,0.139,9.624479e+11,3.415470e+03,7.030638e+21,42.708,38.774,2.544,35.534420
2013.10.27_18:48:00_TAI,3.0,7.932818e+20,50.863,116.545,112.448,65.008,-0.56405765,2.084462e+12,-0.00050287,79.983,0.853,4.969314e+11,3.077073e+03,6.934772e+21,41.671,37.773,2.595,41.229134
2013.10.27_19:00:00_TAI,3.2,9.180349e+20,49.595,111.220,109.858,63.214,-0.86405396,2.584415e+12,-0.00253160,93.364,5.018,1.265863e+12,3.097484e+03,8.153145e+21,40.635,37.033,3.025,47.499699
